"SNUM","DOMSOI","ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Long","Lat","GroupCat","species","TEST_LOCALE"
4803,"Kk",1,220,137,43,6433,374,58,316,267,151,299,133,540,88,23,45,204,75,148,76,-99.542451,28.026221,"collis","collis","Y"
4792,"Kh",2,168,160,44,7424,345,-16,361,250,90,262,71,328,64,7,66,160,29,137,34,-104.3469,32.3305166667,"collis","collis",NA
4792,"Kh",3,168,160,44,7424,345,-16,361,250,90,262,71,328,64,7,66,160,29,137,34,-104.34755,32.2917833333,"collis","collis",NA
5078,"Yk",4,169,157,44,7300,343,-11,354,250,91,261,74,325,65,7,67,159,28,137,33,-104.36205,32.1857333333,"collis","collis",NA
4792,"Kh",5,162,146,43,6909,328,-8,336,238,86,249,71,329,66,8,69,163,29,141,32,-104.4432718,32.1763018,"collis","collis",NA
4792,"Kh",6,160,150,44,6941,328,-12,340,237,119,249,70,284,57,6,72,142,22,127,27,-104.565537,32.108724,"collis","collis",NA
4792,"Kh",7,160,150,44,6941,328,-12,340,237,119,249,70,284,57,6,72,142,22,127,27,-104.566224,32.107565,"collis","collis",NA
4892,"Lk",8,171,167,44,7490,349,-23,372,254,73,266,73,320,59,8,63,149,29,133,29,-103.4344444,32.1075,"collis","collis",NA
5078,"Yk",9,160,150,44,6941,328,-12,340,237,119,249,70,284,57,6,72,142,22,127,27,-104.56432,32.10674,"collis","collis",NA
4892,"Lk",10,172,167,44,7491,349,-23,372,254,73,266,73,321,59,8,63,149,29,132,29,-103.4144444,32.0988889,"collis","collis",NA
5078,"Yk",11,183,176,45,7800,364,-23,387,236,100,279,78,307,57,9,55,128,32,102,35,-102.9000015,31.2460003,"collis","collis",NA
5078,"Yk",12,183,151,42,7375,348,-5,353,235,104,274,85,378,69,12,55,159,40,121,43,-102.137001,31.1949997,"collis","collis",NA
5078,"Yk",13,185,171,45,7613,362,-15,377,237,104,280,83,316,59,9,54,133,33,104,37,-102.8079987,31.0939999,"collis","collis",NA
5076,"Yk",14,151,158,47,6515,315,-21,336,221,111,232,65,334,61,8,75,178,24,164,31,-104.375,30.9430008,"collis","collis",NA
4992,"Rc",15,170,177,49,6774,343,-13,356,244,98,256,82,340,61,9,61,161,33,140,38,-103.8259964,30.8519993,"collis","collis",NA
